Entity,Code,Date,Total confirmed cases of COVID-19
Afghanistan,AFG,2020-05-02,2470
Afghanistan,AFG,2020-05-03,2705
Afghanistan,AFG,2020-05-04,2895
Afghanistan,AFG,2020-05-05,3225
Afghanistan,AFG,2020-05-06,3393
Afghanistan,AFG,2020-05-07,3564
Afghanistan,AFG,2020-05-08,3781
Afghanistan,AFG,2020-05-09,4042
Afghanistan,AFG,2020-05-10,4403
Afghanistan,AFG,2020-05-11,4687
Afghanistan,AFG,2020-05-12,4968
Afghanistan,AFG,2020-05-13,5227
Afghanistan,AFG,2020-05-14,5640
Afghanistan,AFG,2020-05-15,6054
Afghanistan,AFG,2020-05-16,6403
Afghanistan,AFG,2020-05-17,6665
Afghanistan,AFG,2020-05-18,7073
Afghanistan,AFG,2020-05-19,7654
Afghanistan,AFG,2020-05-20,8146
Afghanistan,AFG,2020-05-21,8677
Afghanistan,AFG,2020-05-22,9219
Afghanistan,AFG,2020-05-23,10001
Afghanistan,AFG,2020-05-24,10585
Afghanistan,AFG,2020-05-25,11176
Afghanistan,AFG,2020-05-26,11834
Afghanistan,AFG,2020-05-27,12459
Afghanistan,AFG,2020-05-28,13039
Afghanistan,AFG,2020-05-29,13662
Afghanistan,AFG,2020-05-30,14528
Afghanistan,AFG,2020-05-31,15208
Afghanistan,AFG,2020-06-01,15753
Afghanistan,AFG,2020-06-02,16512
Afghanistan,AFG,2020-06-03,17270
Afghanistan,AFG,2020-06-04,18057
Afghanistan,AFG,2020-06-05,18972
Afghanistan,AFG,2020-06-06,19554
Afghanistan,AFG,2020-06-07,20345
Afghanistan,AFG,2020-06-08,20920
Afghanistan,AFG,2020-06-09,21462
Afghanistan,AFG,2020-06-10,22146
Afghanistan,AFG,2020-06-11,22894
Afghanistan,AFG,2020-06-12,23550
Afghanistan,AFG,2020-06-13,24106
Afghanistan,AFG,2020-06-14,24770
Afghanistan,AFG,2020-06-15,25531
Afghanistan,AFG,2020-06-16,26314
Afghanistan,AFG,2020-06-17,26878
Afghanistan,AFG,2020-06-18,27536
Afghanistan,AFG,2020-06-19,27882
Afghanistan,AFG,2020-06-20,28428
Afghanistan,AFG,2020-06-21,28837
Afghanistan,AFG,2020-06-22,29147
Afghanistan,AFG,2020-06-23,29471
Afghanistan,AFG,2020-06-24,29705
Afghanistan,AFG,2020-06-25,30165
Afghanistan,AFG,2020-06-26,30441
Afghanistan,AFG,2020-06-27,30606
Afghanistan,AFG,2020-06-28,30957
Afghanistan,AFG,2020-06-29,31228
Afghanistan,AFG,2020-06-30,31507
Afghanistan,AFG,2020-07-01,31826
Afghanistan,AFG,2020-07-02,32012
Afghanistan,AFG,2020-07-03,32314
Afghanistan,AFG,2020-07-04,32662
Afghanistan,AFG,2020-07-05,32941
Afghanistan,AFG,2020-07-06,33180
Afghanistan,AFG,2020-07-07,33374
Afghanistan,AFG,2020-07-08,33584
Afghanistan,AFG,2020-07-09,33898
Afghanistan,AFG,2020-07-10,34184
Afghanistan,AFG,2020-07-11,34356
Afghanistan,AFG,2020-07-12,34441
Afghanistan,AFG,2020-07-13,34595
Afghanistan,AFG,2020-07-14,34730
Afghanistan,AFG,2020-07-15,34984
Afghanistan,AFG,2020-07-16,35060
Afghanistan,AFG,2020-07-17,35219
Afghanistan,AFG,2020-07-18,35279
Afghanistan,AFG,2020-07-19,35453
Afghanistan,AFG,2020-07-20,35493
Afghanistan,AFG,2020-07-21,35605
Afghanistan,AFG,2020-07-22,35717
Afghanistan,AFG,2020-07-23,35918
Afghanistan,AFG,2020-07-24,35978
Afghanistan,AFG,2020-07-25,36026
Afghanistan,AFG,2020-07-26,36147
Afghanistan,AFG,2020-07-27,36253
Afghanistan,AFG,2020-07-28,36358
Afghanistan,AFG,2020-07-29,36463
Afghanistan,AFG,2020-07-30,36532
Afghanistan,AFG,2020-07-31,36665
Afghanistan,AFG,2020-08-01,36700
Afghanistan,AFG,2020-08-02,36701
Afghanistan,AFG,2020-08-03,36737
Afghanistan,AFG,2020-08-04,36773
Afghanistan,AFG,2020-08-05,36820
Afghanistan,AFG,2020-08-06,36928
Afghanistan,AFG,2020-08-07,37006
Afghanistan,AFG,2020-08-08,37046
Afghanistan,AFG,2020-08-09,37083
Afghanistan,AFG,2020-08-10,37153
Afghanistan,AFG,2020-08-11,37260
Afghanistan,AFG,2020-08-12,37336
Afghanistan,AFG,2020-08-13,37422
Afghanistan,AFG,2020-08-14,37497
Afghanistan,AFG,2020-08-15,37542
Afghanistan,AFG,2020-08-16,37590
Afghanistan,AFG,2020-08-17,37667
Afghanistan,AFG,2020-08-18,37710
Afghanistan,AFG,2020-08-19,37750
Afghanistan,AFG,2020-08-20,37852
Afghanistan,AFG,2020-08-21,37885
Afghanistan,AFG,2020-08-22,37944
Afghanistan,AFG,2020-08-23,37990
Afghanistan,AFG,2020-08-24,38045
Afghanistan,AFG,2020-08-25,38061
Afghanistan,AFG,2020-08-26,38103
Afghanistan,AFG,2020-08-27,38119
Afghanistan,AFG,2020-08-28,38130
Afghanistan,AFG,2020-08-29,38133
Afghanistan,AFG,2020-08-30,38155
Afghanistan,AFG,2020-08-31,38159
Afghanistan,AFG,2020-09-01,38193
Afghanistan,AFG,2020-09-02,38243
Afghanistan,AFG,2020-09-03,38288
Afghanistan,AFG,2020-09-04,38304
Afghanistan,AFG,2020-09-05,38324
Afghanistan,AFG,2020-09-06,38398
Afghanistan,AFG,2020-09-07,38494
Afghanistan,AFG,2020-09-08,38520
Afghanistan,AFG,2020-09-09,38544
Afghanistan,AFG,2020-09-10,38572
Afghanistan,AFG,2020-09-11,38606
Afghanistan,AFG,2020-09-12,38641
Afghanistan,AFG,2020-09-13,38716
Afghanistan,AFG,2020-09-14,38772
Afghanistan,AFG,2020-09-15,38815
Afghanistan,AFG,2020-09-16,38855
Afghanistan,AFG,2020-09-17,38872
Afghanistan,AFG,2020-09-18,38897
Afghanistan,AFG,2020-09-19,38919
Afghanistan,AFG,2020-09-20,39044
Afghanistan,AFG,2020-09-21,39074
Afghanistan,AFG,2020-09-22,39096
Afghanistan,AFG,2020-09-23,39145
Afghanistan,AFG,2020-09-24,39170
Afghanistan,AFG,2020-09-25,39186
Afghanistan,AFG,2020-09-26,39192
Afghanistan,AFG,2020-09-27,39227
Afghanistan,AFG,2020-09-28,39239
Afghanistan,AFG,2020-09-29,39254
Afghanistan,AFG,2020-09-30,39268
Afghanistan,AFG,2020-10-01,39285
Afghanistan,AFG,2020-10-02,39290
Afghanistan,AFG,2020-10-03,39297
Afghanistan,AFG,2020-10-04,39341
Afghanistan,AFG,2020-10-05,39422
Afghanistan,AFG,2020-10-06,39486
Afghanistan,AFG,2020-10-07,39548
Afghanistan,AFG,2020-10-08,39616
Afghanistan,AFG,2020-10-09,39693
Afghanistan,AFG,2020-10-10,39703
Afghanistan,AFG,2020-10-11,39799
Afghanistan,AFG,2020-10-12,39870
Afghanistan,AFG,2020-10-13,39928
Afghanistan,AFG,2020-10-14,39994
Afghanistan,AFG,2020-10-15,40026
Afghanistan,AFG,2020-10-16,40088
Afghanistan,AFG,2020-10-17,40141
Afghanistan,AFG,2020-10-18,40200
Afghanistan,AFG,2020-10-19,40287
Afghanistan,AFG,2020-10-20,40369
Afghanistan,AFG,2020-10-21,40510
Afghanistan,AFG,2020-10-22,40626
Afghanistan,AFG,2020-10-23,40687
Afghanistan,AFG,2020-10-24,40768
Afghanistan,AFG,2020-10-25,40833
Afghanistan,AFG,2020-10-26,40937
Afghanistan,AFG,2020-10-27,41032
Afghanistan,AFG,2020-10-28,41145
Afghanistan,AFG,2020-10-29,41268
Afghanistan,AFG,2020-10-30,41334
Afghanistan,AFG,2020-10-31,41425
Afghanistan,AFG,2020-11-01,41501
Afghanistan,AFG,2020-11-02,41633
Afghanistan,AFG,2020-11-03,41728
Afghanistan,AFG,2020-11-04,41814
Afghanistan,AFG,2020-11-05,41935
Afghanistan,AFG,2020-11-06,41975
Afghanistan,AFG,2020-11-07,42033
Afghanistan,AFG,2020-11-08,42159
Afghanistan,AFG,2020-11-09,42297
Afghanistan,AFG,2020-11-10,42463
Afghanistan,AFG,2020-11-11,42609
Afghanistan,AFG,2020-11-12,42795
Afghanistan,AFG,2020-11-13,42969
Afghanistan,AFG,2020-11-14,43035
Afghanistan,AFG,2020-11-15,43240
Afghanistan,AFG,2020-11-16,43468
Afghanistan,AFG,2020-11-17,43681
Afghanistan,AFG,2020-11-18,43924
Afghanistan,AFG,2020-11-19,44177
Afghanistan,AFG,2020-11-20,44363
Afghanistan,AFG,2020-11-21,44503
Afghanistan,AFG,2020-11-22,44706
Afghanistan,AFG,2020-11-23,44988
Afghanistan,AFG,2020-11-24,45174
Afghanistan,AFG,2020-11-25,45384
Afghanistan,AFG,2020-11-26,45600
Afghanistan,AFG,2020-11-27,45723
Afghanistan,AFG,2020-11-28,45844
Afghanistan,AFG,2020-11-29,46116
Afghanistan,AFG,2020-11-30,46274
Afghanistan,AFG,2020-12-01,46516
Afghanistan,AFG,2020-12-02,46718
Afghanistan,AFG,2020-12-03,46837
Afghanistan,AFG,2020-12-04,46837
Afghanistan,AFG,2020-12-05,47072
Afghanistan,AFG,2020-12-06,47306
Afghanistan,AFG,2020-12-07,47516
Afghanistan,AFG,2020-12-08,47716
Afghanistan,AFG,2020-12-09,47851
Afghanistan,AFG,2020-12-10,48053
Afghanistan,AFG,2020-12-11,48116
Afghanistan,AFG,2020-12-12,48229
Afghanistan,AFG,2020-12-13,48527
Afghanistan,AFG,2020-12-14,48718
Afghanistan,AFG,2020-12-15,48952
Afghanistan,AFG,2020-12-16,49161
Afghanistan,AFG,2020-12-17,49378
Afghanistan,AFG,2020-12-18,49621
Afghanistan,AFG,2020-12-19,49681
Afghanistan,AFG,2020-12-20,49817
Afghanistan,AFG,2020-12-21,50013
Afghanistan,AFG,2020-12-22,50190
Afghanistan,AFG,2020-12-23,50433
Afghanistan,AFG,2020-12-24,50655
Afghanistan,AFG,2020-12-25,50810
Afghanistan,AFG,2020-12-26,50886
Afghanistan,AFG,2020-12-27,51039
Afghanistan,AFG,2020-12-28,51280
Afghanistan,AFG,2020-12-29,51350
Afghanistan,AFG,2020-12-30,51405
Afghanistan,AFG,2020-12-31,51526
Afghanistan,AFG,2021-01-01,51526
Afghanistan,AFG,2021-01-02,51526
Afghanistan,AFG,2021-01-03,51526
Afghanistan,AFG,2021-01-04,53011
Afghanistan,AFG,2021-01-05,53105
Afghanistan,AFG,2021-01-06,53105
Afghanistan,AFG,2021-01-07,53207
Afghanistan,AFG,2021-01-08,53332
Afghanistan,AFG,2021-01-09,53400
Afghanistan,AFG,2021-01-10,53489
Afghanistan,AFG,2021-01-11,53538
Afghanistan,AFG,2021-01-12,53584
Afghanistan,AFG,2021-01-13,53584
Afghanistan,AFG,2021-01-14,53775
Afghanistan,AFG,2021-01-15,53831
Afghanistan,AFG,2021-01-16,53938
Afghanistan,AFG,2021-01-17,53984
Afghanistan,AFG,2021-01-18,54062
Afghanistan,AFG,2021-01-19,54141
Afghanistan,AFG,2021-01-20,54278
Afghanistan,AFG,2021-01-21,54403
Afghanistan,AFG,2021-01-22,54483
Afghanistan,AFG,2021-01-23,54559
Afghanistan,AFG,2021-01-24,54595
Afghanistan,AFG,2021-01-25,54672
Afghanistan,AFG,2021-01-26,54750
Afghanistan,AFG,2021-01-27,54854
Afghanistan,AFG,2021-01-28,54891
Afghanistan,AFG,2021-01-29,54939
Afghanistan,AFG,2021-01-30,55008
Afghanistan,AFG,2021-01-31,55023
Afghanistan,AFG,2021-02-01,55059
Afghanistan,AFG,2021-02-02,55121
Afghanistan,AFG,2021-02-03,55174
Afghanistan,AFG,2021-02-04,55231
Afghanistan,AFG,2021-02-05,55265
Afghanistan,AFG,2021-02-06,55330
Afghanistan,AFG,2021-02-07,55335
Afghanistan,AFG,2021-02-08,55359
Afghanistan,AFG,2021-02-09,55384
Afghanistan,AFG,2021-02-10,55402
Afghanistan,AFG,2021-02-11,55420
Afghanistan,AFG,2021-02-12,55445
Afghanistan,AFG,2021-02-13,55473
Afghanistan,AFG,2021-02-14,55492
Afghanistan,AFG,2021-02-15,55514
Afghanistan,AFG,2021-02-16,55518
Afghanistan,AFG,2021-02-17,55540
Afghanistan,AFG,2021-02-18,55557
Afghanistan,AFG,2021-02-19,55575
Afghanistan,AFG,2021-02-20,55580
Africa,,2020-02-14,1
Africa,,2020-02-15,1
Africa,,2020-02-16,1
Africa,,2020-02-17,1
Africa,,2020-02-18,1
Africa,,2020-02-19,1
Africa,,2020-02-20,1
Africa,,2020-02-21,1
Africa,,2020-02-22,1
Africa,,2020-02-23,1
Africa,,2020-02-24,1
Africa,,2020-02-25,2
Africa,,2020-02-26,2
Africa,,2020-02-27,2
Africa,,2020-02-28,3
Africa,,2020-02-29,3
Africa,,2020-03-01,4
Africa,,2020-03-02,8
Africa,,2020-03-03,11
Africa,,2020-03-04,21
Africa,,2020-03-05,24
Africa,,2020-03-06,43
Africa,,2020-03-07,43
Africa,,2020-03-08,83
Africa,,2020-03-09,91
Africa,,2020-03-10,104
Africa,,2020-03-11,118
Africa,,2020-03-12,134
Africa,,2020-03-13,176
Africa,,2020-03-14,254
Africa,,2020-03-15,313
Africa,,2020-03-16,400
Africa,,2020-03-17,484
Africa,,2020-03-18,600
Africa,,2020-03-19,780
Africa,,2020-03-20,968
Africa,,2020-03-21,1172
Africa,,2020-03-22,1437
Africa,,2020-03-23,1818
Africa,,2020-03-24,2250
Africa,,2020-03-25,2773
Africa,,2020-03-26,3326
Africa,,2020-03-27,3885
Africa,,2020-03-28,4225
Africa,,2020-03-29,4785
Africa,,2020-03-30,5196
Africa,,2020-03-31,5781
Africa,,2020-04-01,6380
Africa,,2020-04-02,7031
Africa,,2020-04-03,7913
Africa,,2020-04-04,8592
Africa,,2020-04-05,9298
Africa,,2020-04-06,9999
Africa,,2020-04-07,10632
Africa,,2020-04-08,11436
Africa,,2020-04-09,12248
Africa,,2020-04-10,12911
Africa,,2020-04-11,13627
Africa,,2020-04-12,14491
Africa,,2020-04-13,15265
Africa,,2020-04-14,16235
Africa,,2020-04-15,17192
Africa,,2020-04-16,18360
Africa,,2020-04-17,19766
Africa,,2020-04-18,21072
Africa,,2020-04-19,22281
Africa,,2020-04-20,23439
Africa,,2020-04-21,24509
Africa,,2020-04-22,25911
Africa,,2020-04-23,27349
Africa,,2020-04-24,29068
Africa,,2020-04-25,30299
Africa,,2020-04-26,31833
Africa,,2020-04-27,33167
Africa,,2020-04-28,34794
Africa,,2020-04-29,36807
Africa,,2020-04-30,38753
Africa,,2020-05-01,40479
Africa,,2020-05-02,42707
Africa,,2020-05-03,44301
Africa,,2020-05-04,46959
Africa,,2020-05-05,48997
Africa,,2020-05-06,51543
Africa,,2020-05-07,54033
Africa,,2020-05-08,57657
Africa,,2020-05-09,60507
Africa,,2020-05-10,63086
Africa,,2020-05-11,66152
Africa,,2020-05-12,69312
Africa,,2020-05-13,72227
Africa,,2020-05-14,75346
Africa,,2020-05-15,78274
Africa,,2020-05-16,81277
Africa,,2020-05-17,84590
Africa,,2020-05-18,88258
Africa,,2020-05-19,91270
Africa,,2020-05-20,95062
Africa,,2020-05-21,99754
Africa,,2020-05-22,103629
Africa,,2020-05-23,107491
Africa,,2020-05-24,111617
Africa,,2020-05-25,115733
Africa,,2020-05-26,119445
Africa,,2020-05-27,124524
Africa,,2020-05-28,129443
Africa,,2020-05-29,135191
Africa,,2020-05-30,141311
Africa,,2020-05-31,146559
Africa,,2020-06-01,152344
Africa,,2020-06-02,157229
Africa,,2020-06-03,162316
Africa,,2020-06-04,169422
Africa,,2020-06-05,176618
Africa,,2020-06-06,183213
Africa,,2020-06-07,189550
Africa,,2020-06-08,196198
Africa,,2020-06-09,202670
Africa,,2020-06-10,209216
Africa,,2020-06-11,216618
Africa,,2020-06-12,224695
Africa,,2020-06-13,232796
Africa,,2020-06-14,241563
Africa,,2020-06-15,251184
Africa,,2020-06-16,258797
Africa,,2020-06-17,267529
Africa,,2020-06-18,275783
Africa,,2020-06-19,285609
Africa,,2020-06-20,296939
Africa,,2020-06-21,306381
Africa,,2020-06-22,315370
Africa,,2020-06-23,324421
Africa,,2020-06-24,335779
Africa,,2020-06-25,347729
Africa,,2020-06-26,359306
Africa,,2020-06-27,371590
Africa,,2020-06-28,382237
Africa,,2020-06-29,393285
Africa,,2020-06-30,404901
Africa,,2020-07-01,418128
Africa,,2020-07-02,432321
Africa,,2020-07-03,447480
Africa,,2020-07-04,462987
Africa,,2020-07-05,476627
Africa,,2020-07-06,490344
Africa,,2020-07-07,507818
Africa,,2020-07-08,522544
Africa,,2020-07-09,541756
Africa,,2020-07-10,559436
Africa,,2020-07-11,578251
Africa,,2020-07-12,594945
Africa,,2020-07-13,611016
Africa,,2020-07-14,625451
Africa,,2020-07-15,643502
Africa,,2020-07-16,663943
Africa,,2020-07-17,683483
Africa,,2020-07-18,702498
Africa,,2020-07-19,721052
Africa,,2020-07-20,736577
Africa,,2020-07-21,750441
Africa,,2020-07-22,770055
Africa,,2020-07-23,788522
Africa,,2020-07-24,810633
Africa,,2020-07-25,828784
Africa,,2020-07-26,847099
Africa,,2020-07-27,860527
Africa,,2020-07-28,874026
Africa,,2020-07-29,891668
Africa,,2020-07-30,909075
Africa,,2020-07-31,928080
Africa,,2020-08-01,945000
Africa,,2020-08-02,957749
Africa,,2020-08-03,968602
Africa,,2020-08-04,978517
Africa,,2020-08-05,993891
Africa,,2020-08-06,1008219
Africa,,2020-08-07,1021711
Africa,,2020-08-08,1035919
Africa,,2020-08-09,1048275
Africa,,2020-08-10,1057407
Africa,,2020-08-11,1065290
Africa,,2020-08-12,1074548
Africa,,2020-08-13,1084941
Africa,,2020-08-14,1097486
Africa,,2020-08-15,1109301
Africa,,2020-08-16,1119254
Africa,,2020-08-17,1128126
Africa,,2020-08-18,1136763
Africa,,2020-08-19,1147658
Africa,,2020-08-20,1158267
Africa,,2020-08-21,1168539
Africa,,2020-08-22,1178972
Africa,,2020-08-23,1188025
Africa,,2020-08-24,1195541
Africa,,2020-08-25,1203084
Africa,,2020-08-26,1211939
Africa,,2020-08-27,1220494
Africa,,2020-08-28,1228603
Africa,,2020-08-29,1236973
Africa,,2020-08-30,1245430
Africa,,2020-08-31,1252235
Africa,,2020-09-01,1259392
Africa,,2020-09-02,1268106
Africa,,2020-09-03,1275853
Africa,,2020-09-04,1284431
Africa,,2020-09-05,1291823
Africa,,2020-09-06,1299646
Africa,,2020-09-07,1306522
Africa,,2020-09-08,1314201
Africa,,2020-09-09,1322496
Africa,,2020-09-10,1330546
Africa,,2020-09-11,1339238
Africa,,2020-09-12,1346648
Africa,,2020-09-13,1353396
Africa,,2020-09-14,1359879
Africa,,2020-09-15,1366445
Africa,,2020-09-16,1373755
Africa,,2020-09-17,1382360
Africa,,2020-09-18,1390521
Africa,,2020-09-19,1399248
Africa,,2020-09-20,1407667
Africa,,2020-09-21,1413815
Africa,,2020-09-22,1420654
Africa,,2020-09-23,1429381
Africa,,2020-09-24,1437567
Africa,,2020-09-25,1445544
Africa,,2020-09-26,1451954
Africa,,2020-09-27,1460323
Africa,,2020-09-28,1465992
Africa,,2020-09-29,1473501
Africa,,2020-09-30,1481935
Africa,,2020-10-01,1489195
Africa,,2020-10-02,1498052
Africa,,2020-10-03,1506882
Africa,,2020-10-04,1514968
Africa,,2020-10-05,1519682
Africa,,2020-10-06,1526279
Africa,,2020-10-07,1536822
Africa,,2020-10-08,1547730
Africa,,2020-10-09,1556287
Africa,,2020-10-10,1569821
Africa,,2020-10-11,1578796
Africa,,2020-10-12,1584683
Africa,,2020-10-13,1592517
Africa,,2020-10-14,1604025
Africa,,2020-10-15,1613141
Africa,,2020-10-16,1623827
Africa,,2020-10-17,1638089
Africa,,2020-10-18,1646282
Africa,,2020-10-19,1655970
Africa,,2020-10-20,1665746
Africa,,2020-10-21,1676224
Africa,,2020-10-22,1687194
Africa,,2020-10-23,1697629
Africa,,2020-10-24,1709368
Africa,,2020-10-25,1718462
Africa,,2020-10-26,1729180
Africa,,2020-10-27,1737830
Africa,,2020-10-28,1749730
Africa,,2020-10-29,1760801
Africa,,2020-10-30,1774400
Africa,,2020-10-31,1785474
Africa,,2020-11-01,1795770
Africa,,2020-11-02,1803356
Africa,,2020-11-03,1814230
Africa,,2020-11-04,1828232
Africa,,2020-11-05,1843625
Africa,,2020-11-06,1855345
Africa,,2020-11-07,1870362
Africa,,2020-11-08,1882860
Africa,,2020-11-09,1891749
Africa,,2020-11-10,1904922
Africa,,2020-11-11,1918922
Africa,,2020-11-12,1934703
Africa,,2020-11-13,1949381
Africa,,2020-11-14,1963452
Africa,,2020-11-15,1976022
Africa,,2020-11-16,1986326
Africa,,2020-11-17,1999194
Africa,,2020-11-18,2014495
Africa,,2020-11-19,2028429
Africa,,2020-11-20,2044162
Africa,,2020-11-21,2057518
Africa,,2020-11-22,2070297
Africa,,2020-11-23,2080374
Africa,,2020-11-24,2092877
Africa,,2020-11-25,2107544
Africa,,2020-11-26,2121467
Africa,,2020-11-27,2137506
Africa,,2020-11-28,2150902
Africa,,2020-11-29,2163973
Africa,,2020-11-30,2174323
Africa,,2020-12-01,2185161
Africa,,2020-12-02,2201574
Africa,,2020-12-03,2217275
Africa,,2020-12-04,2235257
Africa,,2020-12-05,2249959
Africa,,2020-12-06,2263422
Africa,,2020-12-07,2274050
Africa,,2020-12-08,2287308
Africa,,2020-12-09,2306704
Africa,,2020-12-10,2325838
Africa,,2020-12-11,2344919
Africa,,2020-12-12,2363052
Africa,,2020-12-13,2379274
Africa,,2020-12-14,2390592
Africa,,2020-12-15,2408594
Africa,,2020-12-16,2429819
Africa,,2020-12-17,2450327
Africa,,2020-12-18,2469647
Africa,,2020-12-19,2490907
Africa,,2020-12-20,2509333
Africa,,2020-12-21,2526114
Africa,,2020-12-22,2546100
Africa,,2020-12-23,2571829
Africa,,2020-12-24,2598873
Africa,,2020-12-25,2624658
Africa,,2020-12-26,2646039
Africa,,2020-12-27,2664714
Africa,,2020-12-28,2679925
Africa,,2020-12-29,2700053
Africa,,2020-12-30,2730670
Africa,,2020-12-31,2760459
Africa,,2021-01-01,2788167
Africa,,2021-01-02,2811086
Africa,,2021-01-03,2833076
Africa,,2021-01-04,2854868
Africa,,2021-01-05,2881715
Africa,,2021-01-06,2917507
Africa,,2021-01-07,2952909
Africa,,2021-01-08,2989382
Africa,,2021-01-09,3024481
Africa,,2021-01-10,3056088
Africa,,2021-01-11,3084121
Africa,,2021-01-12,3110249
Africa,,2021-01-13,3144246
Africa,,2021-01-14,3178474
Africa,,2021-01-15,3210049
Africa,,2021-01-16,3237617
Africa,,2021-01-17,3264186
Africa,,2021-01-18,3286662
Africa,,2021-01-19,3310072
Africa,,2021-01-20,3338409
Africa,,2021-01-21,3366274
Africa,,2021-01-22,3392453
Africa,,2021-01-23,3419761
Africa,,2021-01-24,3439881
Africa,,2021-01-25,3456576
Africa,,2021-01-26,3475174
Africa,,2021-01-27,3496001
Africa,,2021-01-28,3516781
Africa,,2021-01-29,3536003
Africa,,2021-01-30,3553865
Africa,,2021-01-31,3569617
Africa,,2021-02-01,3582328
Africa,,2021-02-02,3597149
Africa,,2021-02-03,3612611
Africa,,2021-02-04,3629085
Africa,,2021-02-05,3644992
Africa,,2021-02-06,3658537
Africa,,2021-02-07,3670261
Africa,,2021-02-08,3681674
Africa,,2021-02-09,3693025
Africa,,2021-02-10,3706143
Africa,,2021-02-11,3718013
Africa,,2021-02-12,3731935
Africa,,2021-02-13,3742849
Africa,,2021-02-14,3753174
Africa,,2021-02-15,3763067
Africa,,2021-02-16,3773094
Africa,,2021-02-17,3785411
Africa,,2021-02-18,3799304
Africa,,2021-02-19,3810323
Africa,,2021-02-20,3819882
Albania,ALB,2020-03-09,2
Albania,ALB,2020-03-10,10
Albania,ALB,2020-03-11,12
Albania,ALB,2020-03-12,23
Albania,ALB,2020-03-13,33
Albania,ALB,2020-03-14,38
Albania,ALB,2020-03-15,42
Albania,ALB,2020-03-16,51
Albania,ALB,2020-03-17,55
Albania,ALB,2020-03-18,59
Albania,ALB,2020-03-19,64
Albania,ALB,2020-03-20,70
Albania,ALB,2020-03-21,76
Albania,ALB,2020-03-22,89
Albania,ALB,2020-03-23,104
Albania,ALB,2020-03-24,123
Albania,ALB,2020-03-25,146
Albania,ALB,2020-03-26,174
Albania,ALB,2020-03-27,186
Albania,ALB,2020-03-28,197
Albania,ALB,2020-03-29,212
Albania,ALB,2020-03-30,223
Albania,ALB,2020-03-31,243
Albania,ALB,2020-04-01,259
Albania,ALB,2020-04-02,277
Albania,ALB,2020-04-03,304
Albania,ALB,2020-04-04,333
Albania,ALB,2020-04-05,361
Albania,ALB,2020-04-06,377
Albania,ALB,2020-04-07,383
Albania,ALB,2020-04-08,400
Albania,ALB,2020-04-09,409
Albania,ALB,2020-04-10,416
Albania,ALB,2020-04-11,433
Albania,ALB,2020-04-12,446
Albania,ALB,2020-04-13,467
